0  OUTPUT: $18. | ANSWER: 18 | EVALUATION: True
33  OUTPUT: Let's | ANSWER: 70 | EVALUATION: False
34  OUTPUT: 23. | ANSWER: 23 | EVALUATION: True
35  OUTPUT: 9. | ANSWER: 9 | EVALUATION: True
36  OUTPUT: $75.00. | ANSWER: 75 | EVALUATION: False
37  OUTPUT: Let's | ANSWER: 2 | EVALUATION: False
38  OUTPUT: Let's | ANSWER: 10 | EVALUATION: False
39  OUTPUT: 30 | ANSWER: 18 | EVALUATION: False
40  OUTPUT: Let's | ANSWER: 8 | EVALUATION: False
41  OUTPUT: that | ANSWER: 200 | EVALUATION: False
42  OUTPUT: The | ANSWER: 26 | EVALUATION: False
43  OUTPUT: 48 | ANSWER: 48 | EVALUATION: True
44  OUTPUT: $30.00. | ANSWER: 20 | EVALUATION: False
45  OUTPUT: (44/5)M. | ANSWER: 104 | EVALUATION: False
46  OUTPUT: 163. | ANSWER: 163 | EVALUATION: True
47  OUTPUT: $800. | ANSWER: 800 | EVALUATION: True
48  OUTPUT: 8. | ANSWER: 8 | EVALUATION: True
49  OUTPUT: 30. | ANSWER: 30 | EVALUATION: True
50  OUTPUT: $294. | ANSWER: 294 | EVALUATION: True
51  OUTPUT: Let's | ANSWER: 5 | EVALUATION: False
52  OUTPUT: 15. | ANSWER: 15 | EVALUATION: True
53  OUTPUT: 8c. | ANSWER: 40 | EVALUATION: False
54  OUTPUT: 28. | ANSWER: 40 | EVALUATION: False
55  OUTPUT: 14. | ANSWER: 14 | EVALUATION: True
56  OUTPUT: Let's | ANSWER: 3 | EVALUATION: False
57  OUTPUT: 83. | ANSWER: 83 | EVALUATION: True
58  OUTPUT: $44.00. | ANSWER: 57 | EVALUATION: False
59  OUTPUT: 187. | ANSWER: 187 | EVALUATION: True
60  OUTPUT: 17. | ANSWER: 17 | EVALUATION: True
61  OUTPUT: $1430. | ANSWER: 1430 | EVALUATION: True
62  OUTPUT: $53,947.37. | ANSWER: 25000 | EVALUATION: False
63  OUTPUT: $1596. | ANSWER: 1596 | EVALUATION: True
64  OUTPUT: 300 | ANSWER: 300 | EVALUATION: True
65  OUTPUT: 12 | ANSWER: 36 | EVALUATION: False
66  OUTPUT: 14S. | ANSWER: 48 | EVALUATION: False
67  OUTPUT: 595. | ANSWER: 595 | EVALUATION: True
68  OUTPUT: 36. | ANSWER: 36 | EVALUATION: True
69  OUTPUT: Let's | ANSWER: 60 | EVALUATION: False
70  OUTPUT: (5W | ANSWER: 7425 | EVALUATION: False
71  OUTPUT: 3x. | ANSWER: 60 | EVALUATION: False
72  OUTPUT: $221. | ANSWER: 221 | EVALUATION: True
73  OUTPUT: $255. | ANSWER: 255 | EVALUATION: True
74  OUTPUT: $88. | ANSWER: 88 | EVALUATION: True
75  OUTPUT: 128. | ANSWER: 60 | EVALUATION: False
76  OUTPUT: 5 | ANSWER: 5 | EVALUATION: True
77  OUTPUT: 100. | ANSWER: 100 | EVALUATION: True
78  OUTPUT: $6. | ANSWER: 6 | EVALUATION: True
79  OUTPUT: $142.86. | ANSWER: 70 | EVALUATION: False
80  OUTPUT: 14 | ANSWER: 10 | EVALUATION: False
81  OUTPUT: 27. | ANSWER: 17 | EVALUATION: False
82  OUTPUT: 623. | ANSWER: 623 | EVALUATION: True
83  OUTPUT: 600. | ANSWER: 600 | EVALUATION: True
84  OUTPUT: Let's | ANSWER: 15 | EVALUATION: False
85  OUTPUT: 48. | ANSWER: 44 | EVALUATION: False
86  OUTPUT: 14. | ANSWER: 22 | EVALUATION: False
87  OUTPUT: $780. | ANSWER: 9360 | EVALUATION: False
88  OUTPUT: Let's | ANSWER: 8000 | EVALUATION: False
89  OUTPUT: $24. | ANSWER: 24 | EVALUATION: True
90  OUTPUT: 225. | ANSWER: 225 | EVALUATION: True
91  OUTPUT: 28. | ANSWER: 28 | EVALUATION: True
92  OUTPUT: Let's | ANSWER: 4 | EVALUATION: False
93  OUTPUT: 34.4. | ANSWER: 36 | EVALUATION: False
94  OUTPUT: The | ANSWER: 348 | EVALUATION: False
95  OUTPUT: 40. | ANSWER: 40 | EVALUATION: True
96  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
97  OUTPUT: Let's | ANSWER: 12 | EVALUATION: False
98  OUTPUT: 5. | ANSWER: 5 | EVALUATION: True
99  OUTPUT: 40. | ANSWER: 58 | EVALUATION: False
100  OUTPUT: 115. | ANSWER: 175 | EVALUATION: False
101  OUTPUT: Let's | ANSWER: 6 | EVALUATION: False
102  OUTPUT: 26. | ANSWER: 26 | EVALUATION: True
103  OUTPUT: 140 | ANSWER: 140 | EVALUATION: True
104  OUTPUT: 500. | ANSWER: 500 | EVALUATION: True
105  OUTPUT: 20. | ANSWER: 20 | EVALUATION: True
106  OUTPUT: 72 | ANSWER: 72 | EVALUATION: True
107  OUTPUT: 2. | ANSWER: 3 | EVALUATION: False
108  OUTPUT: Let's | ANSWER: 50 | EVALUATION: False
109  OUTPUT: $28.00. | ANSWER: 28 | EVALUATION: False
110  OUTPUT: 45. | ANSWER: 45 | EVALUATION: True
111  OUTPUT: 4 | ANSWER: 16 | EVALUATION: False
112  OUTPUT: 24. | ANSWER: 24 | EVALUATION: True
113  OUTPUT: 25. | ANSWER: 25 | EVALUATION: True
114  OUTPUT: Let's | ANSWER: 6 | EVALUATION: False
115  OUTPUT: $61.025. | ANSWER: 90 | EVALUATION: False
116  OUTPUT: 42. | ANSWER: 42 | EVALUATION: True
117  OUTPUT: $360. | ANSWER: 360 | EVALUATION: True
118  OUTPUT: 4. | ANSWER: 4 | EVALUATION: True
119  OUTPUT: $169,846.31. | ANSWER: 95200 | EVALUATION: False
120  OUTPUT: 240. | ANSWER: 240 | EVALUATION: True
121  OUTPUT: 27. | ANSWER: 27 | EVALUATION: True
122  OUTPUT: x + y + 5 | ANSWER: 48 | EVALUATION: False
123  OUTPUT: 50 | ANSWER: 50 | EVALUATION: True
124  OUTPUT: 10. | ANSWER: 10 | EVALUATION: True
125  OUTPUT: Let's | ANSWER: 10 | EVALUATION: False
126  OUTPUT: 82. | ANSWER: 82 | EVALUATION: True
127  OUTPUT: 120. | ANSWER: 120 | EVALUATION: True
128  OUTPUT: The | ANSWER: 880 | EVALUATION: False
129  OUTPUT: $10,000. | ANSWER: 10000 | EVALUATION: False
130  OUTPUT: 30. | ANSWER: 30 | EVALUATION: True
131  OUTPUT: The | ANSWER: 940 | EVALUATION: False
132  OUTPUT: There is no numerical solution provided in the given message. | ANSWER: 60 | EVALUATION: False
133  OUTPUT: Let's | ANSWER: 13 | EVALUATION: False
134  OUTPUT: $720. | ANSWER: 720 | EVALUATION: True
135  OUTPUT: 40. | ANSWER: 40 | EVALUATION: True
136  OUTPUT: 6. | ANSWER: 6 | EVALUATION: True
137  OUTPUT: $17.00. | ANSWER: 29 | EVALUATION: False
138  OUTPUT: Mark | ANSWER: 105 | EVALUATION: False
139  OUTPUT: Let's | ANSWER: 70 | EVALUATION: False
140  OUTPUT: 20%. | ANSWER: 20 | EVALUATION: False
141  OUTPUT: 400. | ANSWER: 400 | EVALUATION: True
142  OUTPUT: 20d | ANSWER: 140 | EVALUATION: False
143  OUTPUT: $16.50. | ANSWER: 16 | EVALUATION: False
144  OUTPUT: $36. | ANSWER: 20 | EVALUATION: False
145  OUTPUT: 4000 | ANSWER: 4000 | EVALUATION: True
146  OUTPUT: 499. | ANSWER: 2125 | EVALUATION: False
147  OUTPUT: -45. | ANSWER: 75 | EVALUATION: False
148  OUTPUT: Let's | ANSWER: 30 | EVALUATION: False
149  OUTPUT: Let's | ANSWER: 16 | EVALUATION: False
150  OUTPUT: The | ANSWER: 4 | EVALUATION: False
151  OUTPUT: $5. | ANSWER: 5 | EVALUATION: True
152  OUTPUT: $9.00. | ANSWER: 4 | EVALUATION: False
153  OUTPUT: -2. | ANSWER: 48 | EVALUATION: False
154  OUTPUT: 208 | ANSWER: 272 | EVALUATION: False
155  OUTPUT: 280 | ANSWER: 280 | EVALUATION: True
156  OUTPUT: 1400. | ANSWER: 1400 | EVALUATION: True
157  OUTPUT: -6520. | ANSWER: 80 | EVALUATION: False
158  OUTPUT: $34. | ANSWER: 34 | EVALUATION: True
159  OUTPUT: Let's | ANSWER: 15 | EVALUATION: False
160  OUTPUT: Let's | ANSWER: 16 | EVALUATION: False
161  OUTPUT: Let's | ANSWER: 32 | EVALUATION: False
162  OUTPUT: Final | ANSWER: 92 | EVALUATION: False
163  OUTPUT: The | ANSWER: 50 | EVALUATION: False
164  OUTPUT: $15. | ANSWER: 15 | EVALUATION: True
165  OUTPUT: €77. | ANSWER: 77 | EVALUATION: False
166  OUTPUT: 5. | ANSWER: 5 | EVALUATION: True
167  OUTPUT: Seth | ANSWER: 16 | EVALUATION: False
168  OUTPUT: Jimmy | ANSWER: 18 | EVALUATION: False
169  OUTPUT: 120 | ANSWER: 120 | EVALUATION: True
170  OUTPUT: Let's | ANSWER: 150 | EVALUATION: False
171  OUTPUT: Jake | ANSWER: 1210 | EVALUATION: False
172  OUTPUT: 51. | ANSWER: 51 | EVALUATION: True
173  OUTPUT: $18,000. | ANSWER: 18000 | EVALUATION: False
174  OUTPUT: 95 | ANSWER: 95 | EVALUATION: True
175  OUTPUT: Let's | ANSWER: 15 | EVALUATION: False
176  OUTPUT: Let's | ANSWER: 100 | EVALUATION: False
177  OUTPUT: $350. | ANSWER: 350 | EVALUATION: True
178  OUTPUT: 122. | ANSWER: 122 | EVALUATION: True
179  OUTPUT: $130. | ANSWER: 130 | EVALUATION: True
180  OUTPUT: Let's | ANSWER: 20 | EVALUATION: False
181  OUTPUT: 160. | ANSWER: 160 | EVALUATION: True
182  OUTPUT: There is no numerical solution extracted from the given message. | ANSWER: 23 | EVALUATION: False
183  OUTPUT: that | ANSWER: 2 | EVALUATION: False
184  OUTPUT: 100%. | ANSWER: 25 | EVALUATION: False
185  OUTPUT: 30. | ANSWER: 30 | EVALUATION: True
186  OUTPUT: Let's | ANSWER: 5 | EVALUATION: False
187  OUTPUT: $106.12. | ANSWER: 106 | EVALUATION: False
188  OUTPUT: Let's | ANSWER: 50 | EVALUATION: False
189  OUTPUT: Let's | ANSWER: 34 | EVALUATION: False
190  OUTPUT: 360. | ANSWER: 360 | EVALUATION: True
191  OUTPUT: Let's | ANSWER: 5 | EVALUATION: False
192  OUTPUT: 135. | ANSWER: 91 | EVALUATION: False
193  OUTPUT: 36. | ANSWER: 24 | EVALUATION: False
194  OUTPUT: $0. | ANSWER: 10 | EVALUATION: False
195  OUTPUT: $12. | ANSWER: 12 | EVALUATION: True
196  OUTPUT: 120 | ANSWER: 120 | EVALUATION: True
197  OUTPUT: 6,277. | ANSWER: 6277 | EVALUATION: False
198  OUTPUT: 300. | ANSWER: 320 | EVALUATION: False
199  OUTPUT: 7500 | ANSWER: 7500 | EVALUATION: True
200  OUTPUT: 25M | ANSWER: 55 | EVALUATION: False
201  OUTPUT: $114,200. | ANSWER: 114200 | EVALUATION: False
202  OUTPUT: 100 | ANSWER: 100 | EVALUATION: True
203  OUTPUT: 31. | ANSWER: 31 | EVALUATION: True
204  OUTPUT: 98. | ANSWER: 98 | EVALUATION: True
205  OUTPUT: 191. | ANSWER: 98 | EVALUATION: False
206  OUTPUT: 860 | ANSWER: 860 | EVALUATION: True
207  OUTPUT: 2600 | ANSWER: 2600 | EVALUATION: True
208  OUTPUT: The | ANSWER: 76 | EVALUATION: False
209  OUTPUT: $70. | ANSWER: 145 | EVALUATION: False
210  OUTPUT: Let's | ANSWER: 10 | EVALUATION: False
211  OUTPUT: Let's | ANSWER: 4 | EVALUATION: False
212  OUTPUT: Let's | ANSWER: 5 | EVALUATION: False
213  OUTPUT: 250. | ANSWER: 250 | EVALUATION: True
214  OUTPUT: 4 | ANSWER: 8 | EVALUATION: False
215  OUTPUT: 44. | ANSWER: 44 | EVALUATION: True
216  OUTPUT: $220. | ANSWER: 220 | EVALUATION: True
217  OUTPUT: The | ANSWER: 15 | EVALUATION: False
218  OUTPUT: 47. | ANSWER: 45 | EVALUATION: False
219  OUTPUT: Let's | ANSWER: 54 | EVALUATION: False
220  OUTPUT: The | ANSWER: 70 | EVALUATION: False
221  OUTPUT: 0 | ANSWER: 90 | EVALUATION: False
222  OUTPUT: 140. | ANSWER: 140 | EVALUATION: True
223  OUTPUT: $20000. | ANSWER: 20000 | EVALUATION: True
224  OUTPUT: The | ANSWER: 180 | EVALUATION: False
225  OUTPUT: 3x | ANSWER: 9 | EVALUATION: False
226  OUTPUT: The | ANSWER: 33 | EVALUATION: False
227  OUTPUT: $4.50 | ANSWER: 9 | EVALUATION: False
228  OUTPUT: 1 | ANSWER: 1 | EVALUATION: True
229  OUTPUT: 30. | ANSWER: 21 | EVALUATION: False
230  OUTPUT: $276,000. | ANSWER: 276000 | EVALUATION: False
231  OUTPUT: 50. | ANSWER: 50 | EVALUATION: True
232  OUTPUT: 75. | ANSWER: 75 | EVALUATION: True
233  OUTPUT: 12. | ANSWER: 12 | EVALUATION: True
234  OUTPUT: 21. | ANSWER: 21 | EVALUATION: True
235  OUTPUT: 10. | ANSWER: 10 | EVALUATION: True
236  OUTPUT: Ram | ANSWER: 31 | EVALUATION: False
237  OUTPUT: $90. | ANSWER: 90 | EVALUATION: True
238  OUTPUT: 68. | ANSWER: 68 | EVALUATION: True
239  OUTPUT: 280. | ANSWER: 280 | EVALUATION: True
240  OUTPUT: 21. | ANSWER: 21 | EVALUATION: True
241  OUTPUT: 6. | ANSWER: 6 | EVALUATION: True
242  OUTPUT: 8 | ANSWER: 3 | EVALUATION: False
243  OUTPUT: 250 | ANSWER: 250 | EVALUATION: True
244  OUTPUT: 20. | ANSWER: 20 | EVALUATION: True
245  OUTPUT: Let's | ANSWER: 7 | EVALUATION: False
246  OUTPUT: $27,000. | ANSWER: 27000 | EVALUATION: False
247  OUTPUT: Let's | ANSWER: 32 | EVALUATION: False
248  OUTPUT: $300. | ANSWER: 300 | EVALUATION: True
249  OUTPUT: 4200. | ANSWER: 5600 | EVALUATION: False
250  OUTPUT: The | ANSWER: 17 | EVALUATION: False
251  OUTPUT: 70. | ANSWER: 70 | EVALUATION: True
252  OUTPUT: The | ANSWER: 73 | EVALUATION: False
253  OUTPUT: Let's | ANSWER: 18 | EVALUATION: False
254  OUTPUT: 84. | ANSWER: 84 | EVALUATION: True
255  OUTPUT: 16. | ANSWER: 192 | EVALUATION: False
256  OUTPUT: 45 | ANSWER: 45 | EVALUATION: True
257  OUTPUT: Let's | ANSWER: 5600 | EVALUATION: False
258  OUTPUT: $2.50. | ANSWER: 6 | EVALUATION: False
259  OUTPUT: 66 | ANSWER: 168 | EVALUATION: False
260  OUTPUT: Let's | ANSWER: 11 | EVALUATION: False
261  OUTPUT: $13,950. | ANSWER: 62 | EVALUATION: False
262  OUTPUT: 270. | ANSWER: 270 | EVALUATION: True
263  OUTPUT: 8. | ANSWER: 8 | EVALUATION: True
264  OUTPUT: $400. | ANSWER: 400 | EVALUATION: True
265  OUTPUT: $9,500. | ANSWER: 9500 | EVALUATION: False
266  OUTPUT: $118,000. | ANSWER: 118000 | EVALUATION: False
267  OUTPUT: 23 | ANSWER: 91 | EVALUATION: False
268  OUTPUT: $1375. | ANSWER: 1375 | EVALUATION: True
269  OUTPUT: 4. | ANSWER: 4 | EVALUATION: True
270  OUTPUT: 762. | ANSWER: 762 | EVALUATION: True
271  OUTPUT: 20. | ANSWER: 20 | EVALUATION: True
272  OUTPUT: $5. | ANSWER: 5 | EVALUATION: True
273  OUTPUT: Let's | ANSWER: 315 | EVALUATION: False
274  OUTPUT: $3200. | ANSWER: 3200 | EVALUATION: True
275  OUTPUT: 354. | ANSWER: 138 | EVALUATION: False
276  OUTPUT: 42 | ANSWER: 9 | EVALUATION: False
277  OUTPUT: 4 | ANSWER: 4 | EVALUATION: True
278  OUTPUT: The | ANSWER: 40 | EVALUATION: False
279  OUTPUT: Let's | ANSWER: 6 | EVALUATION: False
280  OUTPUT: $7. | ANSWER: 7 | EVALUATION: True
281  OUTPUT: 70m. | ANSWER: 2450 | EVALUATION: False
282  OUTPUT: $195. | ANSWER: 195 | EVALUATION: True
283  OUTPUT: 68. | ANSWER: 68 | EVALUATION: True
284  OUTPUT: 360. | ANSWER: 360 | EVALUATION: True
285  OUTPUT: Let's | ANSWER: 21 | EVALUATION: False
286  OUTPUT: Kelly | ANSWER: 90 | EVALUATION: False
287  OUTPUT: 40. | ANSWER: 8 | EVALUATION: False
288  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
289  OUTPUT: Let's | ANSWER: 16 | EVALUATION: False
290  OUTPUT: 390. | ANSWER: 390 | EVALUATION: True
291  OUTPUT: Let's | ANSWER: 2 | EVALUATION: False
292  OUTPUT: (x | ANSWER: 75 | EVALUATION: False
293  OUTPUT: Let's | ANSWER: 83 | EVALUATION: False
294  OUTPUT: 3. | ANSWER: 3 | EVALUATION: True
295  OUTPUT: 370. | ANSWER: 370 | EVALUATION: True
296  OUTPUT: 3 | ANSWER: 3 | EVALUATION: True
297  OUTPUT: 45. | ANSWER: 55 | EVALUATION: False
298  OUTPUT: $1250. | ANSWER: 500 | EVALUATION: False
299  OUTPUT: $61,800. | ANSWER: 31800 | EVALUATION: False
300  OUTPUT: 78. | ANSWER: 78 | EVALUATION: True
301  OUTPUT: 8. | ANSWER: 8 | EVALUATION: True
302  OUTPUT: $15. | ANSWER: 15 | EVALUATION: True
303  OUTPUT: $1000. | ANSWER: 1300 | EVALUATION: False
304  OUTPUT: $6,000. | ANSWER: 3200 | EVALUATION: False
305  OUTPUT: 4. | ANSWER: 4 | EVALUATION: True
306  OUTPUT: Let's | ANSWER: 10 | EVALUATION: False
307  OUTPUT: 4. | ANSWER: 16 | EVALUATION: False
308  OUTPUT: $6. | ANSWER: 6 | EVALUATION: True
309  OUTPUT: Let's | ANSWER: 8 | EVALUATION: False
310  OUTPUT: $2050. | ANSWER: 2050 | EVALUATION: True
311  OUTPUT: Let's | ANSWER: 91 | EVALUATION: False
312  OUTPUT: Trent | ANSWER: 32 | EVALUATION: False
313  OUTPUT: 78006. | ANSWER: 120000 | EVALUATION: False
314  OUTPUT: 42. | ANSWER: 30 | EVALUATION: False
315  OUTPUT: 14. | ANSWER: 14 | EVALUATION: True
316  OUTPUT: 156 | ANSWER: 156 | EVALUATION: True
317  OUTPUT: $12. | ANSWER: 12 | EVALUATION: True
318  OUTPUT: 123. | ANSWER: 123 | EVALUATION: True
319  OUTPUT: 15. | ANSWER: 15 | EVALUATION: True
320  OUTPUT: There | ANSWER: 8 | EVALUATION: False
321  OUTPUT: Let's | ANSWER: 1 | EVALUATION: False
322  OUTPUT: There | ANSWER: 9 | EVALUATION: False
323  OUTPUT: 12. | ANSWER: 75 | EVALUATION: False
324  OUTPUT: Let's | ANSWER: 14 | EVALUATION: False
325  OUTPUT: $224,000. | ANSWER: 224000 | EVALUATION: False
326  OUTPUT: Let's | ANSWER: 14 | EVALUATION: False
327  OUTPUT: Oscar | ANSWER: 31 | EVALUATION: False
328  OUTPUT: 2 | ANSWER: 2 | EVALUATION: True
329  OUTPUT: 14. | ANSWER: 14 | EVALUATION: True
330  OUTPUT: $-3157. | ANSWER: 31 | EVALUATION: False
331  OUTPUT: $32,388. | ANSWER: 8400 | EVALUATION: False
332  OUTPUT: 44. | ANSWER: 44 | EVALUATION: True
333  OUTPUT: $100. | ANSWER: 100 | EVALUATION: True
334  OUTPUT: Let's | ANSWER: 6 | EVALUATION: False
335  OUTPUT: 310. | ANSWER: 310 | EVALUATION: True
336  OUTPUT: $72. | ANSWER: 72 | EVALUATION: True
337  OUTPUT: 0.5L. | ANSWER: 1 | EVALUATION: False
338  OUTPUT: Let's | ANSWER: 60 | EVALUATION: False
339  OUTPUT: 160. | ANSWER: 160 | EVALUATION: True
340  OUTPUT: 5. | ANSWER: 4 | EVALUATION: False
341  OUTPUT: 260 | ANSWER: 260 | EVALUATION: True
342  OUTPUT: 87. | ANSWER: 87 | EVALUATION: True
343  OUTPUT: 180,000 | ANSWER: 180000 | EVALUATION: False
344  OUTPUT: 2. | ANSWER: 2 | EVALUATION: True
345  OUTPUT: 310. | ANSWER: 310 | EVALUATION: True
346  OUTPUT: 9. | ANSWER: 9 | EVALUATION: True
347  OUTPUT: Davos | ANSWER: 36 | EVALUATION: False
348  OUTPUT: 10%. | ANSWER: 10 | EVALUATION: False
349  OUTPUT: $2640. | ANSWER: 2640 | EVALUATION: True
350  OUTPUT: 5x | ANSWER: 8 | EVALUATION: False
351  OUTPUT: 10. | ANSWER: 10 | EVALUATION: True
352  OUTPUT: Andrea | ANSWER: 21 | EVALUATION: False
353  OUTPUT: 8 | ANSWER: 20 | EVALUATION: False
354  OUTPUT: There is no numerical solution provided in the given message. | ANSWER: 45 | EVALUATION: False
355  OUTPUT: Let's | ANSWER: 34 | EVALUATION: False
356  OUTPUT: 21. | ANSWER: 21 | EVALUATION: True
357  OUTPUT: Let's | ANSWER: 2 | EVALUATION: False
358  OUTPUT: Marisa | ANSWER: 20 | EVALUATION: False
359  OUTPUT: Let's | ANSWER: 4 | EVALUATION: False
360  OUTPUT: Let's | ANSWER: 25 | EVALUATION: False
361  OUTPUT: 0.05 | ANSWER: 20 | EVALUATION: False
362  OUTPUT: 8 | ANSWER: 23 | EVALUATION: False
363  OUTPUT: Let's | ANSWER: 6 | EVALUATION: False
364  OUTPUT: Let's | ANSWER: 49 | EVALUATION: False
365  OUTPUT: There | ANSWER: 18 | EVALUATION: False
366  OUTPUT: Let's | ANSWER: 9 | EVALUATION: False
367  OUTPUT: x | ANSWER: 19 | EVALUATION: False
368  OUTPUT: Let's | ANSWER: 18 | EVALUATION: False
369  OUTPUT: $514. | ANSWER: 1198 | EVALUATION: False
370  OUTPUT: $400. | ANSWER: 320 | EVALUATION: False
371  OUTPUT: 50. | ANSWER: 50 | EVALUATION: True
372  OUTPUT: 5. | ANSWER: 5 | EVALUATION: True
373  OUTPUT: $0. | ANSWER: 240000 | EVALUATION: False
374  OUTPUT: Let's | ANSWER: 45 | EVALUATION: False
375  OUTPUT: 48. | ANSWER: 48 | EVALUATION: True
376  OUTPUT: 15. | ANSWER: 15 | EVALUATION: True
377  OUTPUT: Let's | ANSWER: 50 | EVALUATION: False
378  OUTPUT: Let's | ANSWER: 15 | EVALUATION: False
379  OUTPUT: 0. | ANSWER: 21 | EVALUATION: False
380  OUTPUT: $1,095. | ANSWER: 803 | EVALUATION: False
381  OUTPUT: 67 | ANSWER: 67 | EVALUATION: True
382  OUTPUT: 350. | ANSWER: 350 | EVALUATION: True
383  OUTPUT: Millie | ANSWER: 2 | EVALUATION: False
384  OUTPUT: Let's | ANSWER: 32 | EVALUATION: False
385  OUTPUT: 29. | ANSWER: 16 | EVALUATION: False
386  OUTPUT: 0. | ANSWER: 80 | EVALUATION: False
387  OUTPUT: $36. | ANSWER: 36 | EVALUATION: True
388  OUTPUT: 88. | ANSWER: 88 | EVALUATION: True
389  OUTPUT: David | ANSWER: 6 | EVALUATION: False
390  OUTPUT: 12 | ANSWER: 12 | EVALUATION: True
391  OUTPUT: 15. | ANSWER: 15 | EVALUATION: True
392  OUTPUT: $42. | ANSWER: 34 | EVALUATION: False
393  OUTPUT: 20%. | ANSWER: 20 | EVALUATION: False
394  OUTPUT: 16. | ANSWER: 92 | EVALUATION: False
395  OUTPUT: Erica | ANSWER: 38 | EVALUATION: False
396  OUTPUT: Let's | ANSWER: 3 | EVALUATION: False
397  OUTPUT: Let's | ANSWER: 25 | EVALUATION: False
398  OUTPUT: 168. | ANSWER: 168 | EVALUATION: True
399  OUTPUT: 12. | ANSWER: 12 | EVALUATION: True
400  OUTPUT: 48. | ANSWER: 48 | EVALUATION: True
401  OUTPUT: $14400. | ANSWER: 14400 | EVALUATION: True
402  OUTPUT: 1. | ANSWER: 4 | EVALUATION: False
403  OUTPUT: 81 | ANSWER: 81 | EVALUATION: True
404  OUTPUT: 22. | ANSWER: 22 | EVALUATION: True
405  OUTPUT: $50.00. | ANSWER: 50 | EVALUATION: False
406  OUTPUT: 140. | ANSWER: 200 | EVALUATION: False
407  OUTPUT: 2,000. | ANSWER: 2000 | EVALUATION: False
408  OUTPUT: 49.925 | ANSWER: 20 | EVALUATION: False
409  OUTPUT: $48,000. | ANSWER: 168000 | EVALUATION: False
410  OUTPUT: $4.50. | ANSWER: 3 | EVALUATION: False
411  OUTPUT: There is no numerical solution provided in the given message. | ANSWER: 1110 | EVALUATION: False
412  OUTPUT: x | ANSWER: 5 | EVALUATION: False
413  OUTPUT: 500. | ANSWER: 25 | EVALUATION: False
414  OUTPUT: that | ANSWER: 56 | EVALUATION: False
415  OUTPUT: Let's | ANSWER: 350 | EVALUATION: False
416  OUTPUT: Let's | ANSWER: 56 | EVALUATION: False
417  OUTPUT: 3140 | ANSWER: 3140 | EVALUATION: True
418  OUTPUT: Timothy's | ANSWER: 40 | EVALUATION: False
419  OUTPUT: 6,000 | ANSWER: 3000 | EVALUATION: False
420  OUTPUT: $14000. | ANSWER: 17000 | EVALUATION: False
421  OUTPUT: Cannot determine the exact number of cats remaining on the rock. | ANSWER: 12 | EVALUATION: False
422  OUTPUT: $268. | ANSWER: 284 | EVALUATION: False
423  OUTPUT: -$6. | ANSWER: 8 | EVALUATION: False
424  OUTPUT: 570. | ANSWER: 570 | EVALUATION: True
425  OUTPUT: 6x | ANSWER: 150 | EVALUATION: False
426  OUTPUT: x | ANSWER: 11 | EVALUATION: False
427  OUTPUT: 100. | ANSWER: 150 | EVALUATION: False
428  OUTPUT: 22. | ANSWER: 26 | EVALUATION: False
429  OUTPUT: 13. | ANSWER: 13 | EVALUATION: True
